"path"	"category"	"bytes"	"files"	"identity"	"status"	"method"
"D:\3.VScode\Mi\flash"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"57268450456"	"144"	"0e5d2159471a01f8d85e8fb429e4a317e36133320e4ec7dfac4d36f00c94c82b"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\【B刷机】072"	"DELETE_DUPLICATE"	"14063878816"	"8"	"124fc321a9b063160dfe86e9c7ba468f1e4d386f88d5b09d795fc82e752337ac"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\重要文件"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"1268968087"	"151"	"d6bcf86cd458294ba742097e6abeb80cb7178f104399302e571716cbf8173e04"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\ZuiControl_Archive"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"363355053"	"1751"	"811ce81c2d58b9bea5851d5c06382d9adeaa263bbbfc1545dd85afba5316c990"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\boot.img"	"DELETE_DUPLICATE"	"100663296"	"1"	"c4ae2532569f3e88b6d5ea0223445e76b2e4c0d7e7699c8695bfb49c7fdee8d6"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\evidence"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"5782060"	"105"	"82a373b9e3fe38e8471afd530e0a2b248448adb0b703e53206208963124a42ca"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\docs"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"610588"	"19"	"78240fe60a31226c2280f6af73e40b9f2a74f2b442358d43f3325279fa4cf096"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\ZuiControl_Workspace"	"DELETE_REGENERABLE"	"378528"	"131"	"7abe6417cd2039355d83281ae974948b259aa3cea933b5dc6d80e02564582e2f"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\tools\__pycache__"	"DELETE_REGENERABLE"	"6429"	"1"	"c7a617a906edabfca4543c3a8627ca89606467fec719f2b9c81f73bab5e36e8f"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_READY_MARKER_SELINUX_CORRECTION.zip"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"1063403"	"1"	"dffefcef713f46a1b5fcb277fe678630a5b61a31dd1dc1ed68c3b27736aad7c4"	"REMOVED"	"exact-plan cleanup script"
"D:\3.VScode\Mi\V20_4_UPERF_READY_MARKER_SELINUX_CORRECTION.zip.sha256"	"DELETE_AFTER_KNOWLEDGE_EXTRACTION"	"115"	"1"	"8aa2f717a87680a24ded1dd07720e8280ab84aa3dad4769be7294a175c4951ea"	"REMOVED"	"exact-plan cleanup script"
